72;Jause
73;Jause
75;Hauptspeise
76;Hauptspeise
77;Hauptspeise
79;Hauptspeise
80;Hauptspeise
81;Hauptspeise
82;Hauptspeise
84;Jause
85;Jause
90;Jause
92;Hauptspeise
94;Frühstück
97;Hauptspeise
98;Jause
100;Jause
101;Jause
102;Jause
103;Jause
104;Jause
105;Jause
106;Jause
107;Jause
108;Jause
110;Jause
112;Jause
113;Jause
114;Jause
115;Jause
116;Jause
117;Frühstück
117;Jause
122;Hauptspeise
122;Dessert
123;Hauptspeise
123;Dessert
124;Hauptspeise
124;Dessert
126;Hauptspeise
126;Dessert
127;Hauptspeise
127;Dessert
130;Jause
131;Dessert
132;Dessert
132;Jause
133;Jause
134;Jause
137;Jause
138;Dessert
139;Dessert
139;Jause
140;Hauptspeise
142;Jause
143;Jause
144;Hauptspeise
144;Frühstück
148;Jause
150;Dessert
150;Jause
151;Hauptspeise
151;Frühstück
